"","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"1",298.85,"seagrass",707,NA,0,0.81,NA,0.11,6.12,NA,0,10235.86,NA,162.15,0,NA,0.69
"2",298.912416107383,"seagrass",707,NA,0,0.8,NA,0.11,6.12,NA,0,10184.58,NA,161.2,0,NA,0.69
"3",298.974832214765,"seagrass",707.01,NA,0,0.8,NA,0.11,6.12,NA,0,10133.57,NA,160.25,0,NA,0.69
"4",299.037248322148,"seagrass",707.01,NA,0,0.8,NA,0.11,6.12,NA,0,10082.82,NA,159.3,0,NA,0.69
"5",299.09966442953,"seagrass",707.01,NA,0,0.8,NA,0.11,6.12,NA,0,10032.35,NA,158.37,0,NA,0.69
"6",299.162080536913,"seagrass",707.01,NA,0,0.8,NA,0.11,6.12,NA,0,9982.14,NA,157.43,0,NA,0.69
"7",299.224496644295,"seagrass",707.02,NA,0,0.8,NA,0.11,6.12,NA,0,9932.2,NA,156.5,0,NA,0.69
"8",299.286912751678,"seagrass",707.02,NA,0,0.8,NA,0.11,6.12,NA,0,9882.52,NA,155.58,0,NA,0.69
"9",299.34932885906,"seagrass",707.02,NA,0,0.8,NA,0.11,6.12,NA,0,9833.11,NA,154.66,0,NA,0.69
"10",299.411744966443,"seagrass",707.02,NA,0,0.8,NA,0.11,6.12,NA,0,9783.95,NA,153.75,0,NA,0.69
"11",299.474161073826,"seagrass",707.02,NA,0,0.8,NA,0.11,6.12,NA,0,9735.05,NA,152.85,0,NA,0.69
"12",299.536577181208,"seagrass",707.03,NA,0,0.8,NA,0.11,6.12,NA,0,9686.41,NA,151.94,0,NA,0.69
"13",299.598993288591,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9638.03,NA,151.05,0,NA,0.69
"14",299.661409395973,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9589.9,NA,150.15,0,NA,0.69
"15",299.723825503356,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9542.03,NA,149.27,0,NA,0.69
"16",299.786241610738,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9494.4,NA,148.39,0,NA,0.69
"17",299.848657718121,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9447.03,NA,147.51,0,NA,0.69
"18",299.911073825503,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9399.9,NA,146.64,0,NA,0.69
"19",299.973489932886,"seagrass",707.03,NA,0,0.79,NA,0.11,6.12,NA,0,9353.02,NA,145.77,0,NA,0.69
"20",300.035906040268,"seagrass",707.02,NA,0,0.79,NA,0.11,6.12,NA,0,9306.39,NA,144.91,0,NA,0.69
"21",300.098322147651,"seagrass",707.02,NA,0,0.79,NA,0.11,6.12,NA,0,9260.01,NA,144.05,0,NA,0.69
"22",300.160738255034,"seagrass",707.02,NA,0,0.79,NA,0.11,6.12,NA,0,9213.86,NA,143.2,0,NA,0.69
"23",300.223154362416,"seagrass",707.02,NA,0,0.78,NA,0.11,6.12,NA,0,9167.96,NA,142.35,0,NA,0.69
"24",300.285570469799,"seagrass",707.02,NA,0,0.78,NA,0.11,6.12,NA,0,9122.29,NA,141.51,0,NA,0.69
"25",300.347986577181,"seagrass",707.01,NA,0,0.78,NA,0.11,6.12,NA,0,9076.87,NA,140.67,0,NA,0.69
